account_number,annual_income,household_size,years_post_high_school_ed,hours_per_week_watching_tv,age,gender,exceeded_credit_limit_in_past,annual_charges
24815124,107.7,7,0,32,50,Male,No,21063.87
18960844,18.3,4,3,56,41,Female,No,7235.48
19026118,59.4,2,4,14,36,Female,No,2841.75
4826835,30.4,2,0,20,67,Male,No,8150.77
13433405,54.4,4,3,22,37,Male,No,9389.66
756470,103.2,5,1,1,42,Male,No,19314.46
12527670,34.1,3,4,23,32,Male,No,9266.9
23735847,88.8,4,5,10,47,Male,No,16049.29
1423005,53.5,5,4,21,52,Male,Yes,7904.72
15667920,22.4,5,2,60,56,Female,No,9634.75
125435,71,7,1,9,45,Male,No,12869.17
9812365,55.3,5,3,36,38,Female,Yes,9695.93
7362127,68.5,7,2,28,50,Male,No,5743.41
2266273,99.7,5,4,49,62,Male,No,19915.78
27220767,48.9,7,1,25,42,Male,No,10286.89
28383626,107.3,6,0,37,36,Female,No,11459.39
11866245,42.1,7,3,19,40,Male,No,9246.9
4341145,42,2,4,57,48,Female,No,9045.17
9363433,81.6,8,4,59,52,Female,No,8635.08
20477648,64,2,2,25,51,Male,No,10412.03
25870168,45.9,7,2,43,42,Female,No,468.32
1346796,79.6,8,3,3,44,Male,No,6250.55
5083352,100.2,1,4,20,48,Female,No,4777.17
27028931,105.9,6,2,59,50,Female,No,22772.14
18470329,69.3,4,2,3,51,Female,No,16780.41
3436429,68.5,5,3,56,47,Male,No,13601.86
25593912,51.1,6,1,51,50,Male,No,9923.97
27306192,55.8,7,1,29,40,Male,Yes,18210.29
2661283,66.2,6,4,52,29,Female,No,12548.55
23489729,103.1,7,3,53,57,Female,Yes,20213.7
21699465,55.3,4,2,12,50,Female,No,10134.63
11237377,85,2,1,5,34,Female,No,19416.64
1709122,53.7,6,0,40,51,Female,No,10779.92
220265,90.1,3,2,52,41,Female,Yes,21695.38
23907605,29.2,6,2,53,31,Male,No,5533.06
25517016,92.3,3,1,8,49,Female,No,10744.37
18430470,72.1,4,1,14,45,Male,No,7489.58
5055846,73.8,7,5,41,41,Female,No,19114.42
9100457,48.4,4,4,38,50,Male,No,10186.41
1939545,45,5,1,52,63,Male,No,15178.7
7867553,77.2,3,1,58,38,Male,No,12103.74
20470074,55.2,5,3,14,56,Female,No,1274.78
25415002,117.2,7,3,36,55,Male,Yes,22607.92
19309312,46.6,7,3,56,64,Male,Yes,12877.06
11715814,8,8,4,43,36,Male,No,4802.64
15144054,108,4,1,29,52,Female,No,16926.89
11213570,56.1,7,2,28,36,Female,No,16115.73
18035198,95.3,5,4,36,45,Male,No,13316.42
11010959,53.2,2,1,18,58,Male,No,9158.98
1892242,38.9,8,2,2,49,Female,No,11545.79
6922311,78.4,7,2,22,40,Male,No,7568.74
28939370,41,3,4,25,30,Male,No,8876.56
23767087,99.9,5,3,40,57,Female,No,12620.73
15213716,90,5,5,10,65,Male,No,15932.13
18699523,79.3,3,1,40,22,Male,No,12658.27
5263212,24.6,4,2,51,36,Male,No,440.12
5089191,75.1,2,0,22,50,Male,No,8863.13
12949615,61.6,7,4,0,52,Female,Yes,15899.66
3825717,92.2,6,0,12,37,Male,No,10805.34
9146292,120.7,5,3,42,55,Female,No,14809.26
15339246,48.7,3,1,51,51,Male,No,12375.34
26132104,97.4,7,1,7,44,Female,Yes,20067.05
28264432,44.5,8,3,34,56,Male,No,9940.75
28406633,94.6,6,1,7,33,Female,No,15457.89
26560453,9.9,3,3,41,57,Female,No,8384.74
10476048,79.3,7,3,38,59,Female,No,15201.42
22643733,98.1,6,2,9,27,Male,No,12913.04
133779,51.9,7,2,45,56,Male,No,15426.14
12614495,89.2,8,1,57,65,Male,No,13646.98
20280111,70.2,3,1,39,34,Male,Yes,6733.53
15055118,27.5,3,4,8,43,Female,No,7194.18
13233604,106.7,1,2,51,46,Female,No,12133.97
22356529,98.4,5,1,25,22,Female,No,9052.29
15289821,104.1,3,4,52,31,Male,No,18953.64
19872887,45.2,2,2,12,34,Male,No,10188
5322783,82.7,4,3,41,38,Male,Yes,15854.1
13581148,46.8,7,4,54,49,Male,No,10922.91
22589206,27,7,2,42,66,Female,No,5612.69
11367433,83.1,7,0,41,34,Female,No,20339.76
3536867,17.5,4,4,33,51,Female,Yes,179.58
12175940,42.9,3,2,37,58,Female,No,0
12276104,71.8,7,0,51,43,Male,No,13279.41
21567246,80.1,7,3,23,50,Female,No,19256.72
18836748,58.8,5,4,41,59,Female,No,3429.77
17179709,84.3,6,3,47,51,Male,No,20395.44
29416131,71.8,4,3,7,48,Female,Yes,9245.9
28037126,50.4,4,2,14,32,Male,No,10346.17
5251786,59.6,8,1,6,49,Male,No,13041.06
7217585,47.6,8,2,32,39,Male,No,17726.03
24273787,66.3,7,3,6,24,Female,No,15829.58
3239367,98,4,4,53,40,Male,No,13005
22314332,115.8,2,2,9,57,Male,Yes,11276.2
20150325,65.2,4,1,35,34,Male,No,5830.23
25787536,22.4,3,4,49,56,Male,No,4418.75
11009837,71.5,6,0,33,36,Male,No,14691.22
9192465,82.5,4,3,40,54,Male,No,12037.45
25866032,93,6,0,26,46,Female,No,15327.33
16108052,25,3,1,14,41,Male,No,4693.84
21276610,85.1,5,2,45,53,Female,No,13802.2
19358700,18.2,3,4,13,27,Male,No,4400.09
26258112,25.6,6,2,49,61,Male,No,12450.07
7769493,91.5,6,3,15,39,Male,No,16516.54
13884399,90.9,3,1,54,35,Male,No,9461.23
10227762,53,6,4,25,54,Male,No,11618.27
2323771,20.3,3,1,29,45,Male,No,11139.23
2985470,60,5,5,15,37,Male,No,17150.24
172495,89.3,7,4,8,56,Male,No,11358.81
4397578,40.1,7,3,18,49,Male,No,11188.19
24334022,64,4,3,35,52,Female,No,5322.03
10199669,62.5,6,0,35,56,Female,No,16189.1
27444157,42.3,2,0,54,43,Female,No,11390.04
26203838,85.9,6,1,30,45,Female,No,19488.28
7653122,54.9,8,4,34,48,Male,No,8386.46
16149501,43.1,5,5,59,43,Female,No,11549.95
5750686,36.1,7,3,2,52,Female,No,107.54
11193309,34.7,7,3,13,36,Male,No,10809.89
26677894,44.1,7,4,14,63,Male,No,2727.69
4708626,94.4,8,1,57,46,Male,No,25215.04
17315701,33,8,4,26,22,Female,No,11364.08
14965825,55.9,4,1,7,39,Male,No,7031.87
6911380,86.5,6,4,59,56,Female,No,12375.09
12967743,55.1,7,4,14,49,Male,No,11369.34
4791310,39.5,4,3,44,58,Female,No,10467.88
4573215,86.6,3,2,24,33,Male,No,10587.36
2491879,42.6,5,5,24,46,Male,No,2013.96
26871047,69.3,5,0,19,51,Female,No,10790.1
28441232,31.8,6,1,42,31,Male,No,16518.49
7237038,72.5,1,0,32,32,Male,No,7708.21
13587406,52.4,6,1,8,27,Male,No,10595.6
21684523,15,5,2,52,54,Male,No,0
27215108,52,3,2,45,31,Male,No,17192.6
503820,34.4,7,2,8,59,Female,No,10914.82
12286537,117.3,4,3,35,53,Female,No,11749.74
16598444,71.5,4,3,2,40,Female,No,9807.93
26655341,106.1,1,2,35,38,Male,No,6087.47
14115166,114.4,3,0,0,53,Female,No,13251.82
25163382,29.8,3,1,31,40,Male,No,3728.04
6309187,47.2,5,3,23,39,Male,Yes,10304.32
11791128,36.9,2,1,22,56,Female,No,9866.41
10886623,80.2,4,1,30,35,Female,No,21114.87
10882977,87.8,1,3,28,32,Female,No,18213.52
17443502,83.8,2,1,48,37,Female,No,15242.26
25453313,75.3,2,4,18,48,Female,No,0
7311181,42.7,3,1,45,38,Male,No,13888.76
25763941,25.8,2,3,35,39,Male,No,10980.61
13078482,71.7,4,5,4,35,Female,No,4053.36
6594112,91.5,3,4,13,53,Male,Yes,6612.6
23357676,73.1,6,2,22,59,Female,Yes,16981.36
10293427,31.6,3,3,4,51,Male,No,1681.07
24932431,55.7,8,3,33,40,Male,No,12595.4
22487075,102.7,8,2,41,43,Male,No,20201.68
16629673,39.3,7,3,59,37,Male,No,9454.32
26796075,72,3,1,35,48,Male,No,6638.44
9327970,53.8,4,4,44,40,Male,No,3451.52
23448261,46.4,5,0,47,30,Female,No,11429.76
17186,50.5,4,1,44,62,Female,No,11977.76
11736556,93,8,5,8,37,Female,No,21471.86
4922960,50.1,4,1,23,44,Male,No,15970.24
8662225,44.6,4,2,8,50,Female,No,6499.4
15728094,54.7,6,0,4,66,Male,No,8041.39
4490936,113.4,8,1,7,44,Female,No,20863.84
18463582,41.6,2,1,54,27,Female,No,3876.21
17236813,55.4,7,4,26,45,Male,No,14443.44
27338385,29.5,2,2,5,46,Male,Yes,0
10551660,104.7,3,0,44,35,Female,No,17543.52
21184995,93.5,6,1,3,40,Female,No,22649.39
16307426,31.5,8,4,11,35,Male,No,9185.89
2339312,107.1,3,3,0,22,Male,No,23279.33
7504404,88.6,3,5,3,44,Male,No,10059
13548301,45.2,2,5,38,34,Male,No,8214.86
22603154,72.7,7,4,13,67,Female,Yes,15598.63
13393069,40,3,1,58,26,Female,No,14837.76
19463895,80,1,2,15,47,Male,No,5893.39
9293544,126.8,8,0,45,54,Male,No,27039.28
27121483,78.8,4,2,12,22,Female,Yes,11898.36
11826788,67.9,2,4,9,38,Female,No,7857.02
7826731,47.1,7,2,12,56,Male,No,11666.94
5007593,43.1,3,3,34,34,Female,No,6465.44
6714975,76.1,5,4,40,37,Female,No,4696.65
10751873,40.7,7,0,9,56,Female,No,6729.61
722223,50.3,7,4,11,32,Male,No,14400.33
5369433,45.3,3,4,3,52,Female,No,0
29530262,71.4,3,2,53,40,Female,No,17762.35
13086851,53.9,5,5,16,56,Male,No,13024.47
22418326,45.2,3,1,44,56,Female,Yes,1146.04
27857863,71.3,5,3,23,43,Female,No,1667.11
7394369,85.9,6,3,2,50,Female,Yes,18346.2
9097867,101.8,2,1,32,42,Male,Yes,16540.05
25162282,73.6,6,1,18,51,Male,Yes,16207.38
18945457,88.1,7,2,38,48,Male,No,15041.45
3388514,20.8,7,1,27,60,Male,No,9759.29
16596095,23.9,3,1,7,50,Male,No,11675.89
15541029,92.5,7,5,20,44,Male,No,12350.13
23789911,52.3,7,2,27,45,Male,No,6922.61
19664810,35,2,1,21,29,Female,No,5485.72
16170418,72.3,7,1,25,56,Male,No,18514.78
24882303,44.9,1,2,18,22,Male,No,6518.9
12591011,81.2,7,1,53,51,Female,No,17894.81
16672837,97.4,1,1,54,48,Male,No,16920.31
27011209,78.2,4,1,45,38,Male,No,8204.14
6958354,113.4,3,1,41,49,Male,No,23219.75
15568970,117.3,3,5,58,24,Male,Yes,12798.63
10587885,39.2,7,0,27,38,Female,Yes,7389.73
29044033,55.5,3,3,52,46,Female,No,14255.85
18401384,92.6,3,2,17,50,Female,Yes,14344.62
3595475,39.4,6,0,55,22,Male,No,3735.08
26872199,87.7,2,5,12,60,Male,No,13983.95
3839736,49.1,7,0,15,37,Male,No,10516.63
17357369,39,4,0,60,49,Male,No,559.61
26192749,69.4,4,1,0,55,Male,No,1500.53
17430519,103.2,3,3,14,41,Female,No,13064.2
19859200,90.5,4,1,35,34,Male,No,22286.84
9939997,100.2,6,3,48,39,Male,No,13865.43
3799176,46.9,1,2,24,45,Female,No,9393.28
8765526,122.9,7,2,1,29,Female,Yes,15047.7
3420642,75.4,2,4,23,49,Male,No,18009.84
23106564,101,7,1,50,43,Male,No,21231.04
5288130,75.6,8,5,1,40,Female,No,3839.08
27950661,120.4,5,4,53,45,Male,No,21992.66
29331214,114.1,5,4,7,50,Male,No,22622.75
4985882,34.6,2,4,53,55,Female,No,7503.67
23055913,73.3,2,4,46,52,Female,No,4903.3
20155176,57.4,2,2,1,53,Female,No,3559.34
